open_time,open,high,low,close,volume,taker_buy_base_asset_volume
2025-06-14 03:37:00+00:00,105325.0,105325.1,105300.0,105300.1,26.816,6.032
2025-06-14 03:38:00+00:00,105300.0,105319.3,105288.3,105319.3,22.735,11.037
2025-06-14 03:39:00+00:00,105319.2,105319.2,105296.5,105300.1,19.5,5.656
2025-06-14 03:40:00+00:00,105300.1,105309.6,105289.7,105305.1,23.034,18.417
2025-06-14 03:41:00+00:00,105305.1,105305.1,105266.2,105266.2,27.918,3.316
2025-06-14 03:42:00+00:00,105266.2,105277.9,105266.2,105277.8,14.62,7.166
2025-06-14 03:43:00+00:00,105277.8,105277.8,105277.7,105277.7,11.466,4.054
2025-06-14 03:44:00+00:00,105277.8,105286.0,105270.1,105270.1,14.496,5.103
2025-06-14 03:45:00+00:00,105270.2,105270.2,105258.2,105258.3,9.654,1.427
2025-06-14 03:46:00+00:00,105258.2,105258.3,105258.2,105258.2,5.825,1.394
2025-06-14 03:47:00+00:00,105258.3,105258.3,105232.7,105233.1,19.5,2.258
2025-06-14 03:48:00+00:00,105233.0,105233.0,105150.1,105153.3,122.54,20.912
2025-06-14 03:49:00+00:00,105153.4,105153.4,105153.3,105153.3,20.381,5.709
2025-06-14 03:50:00+00:00,105153.3,105174.5,105152.6,105152.7,38.802,18.817
2025-06-14 03:51:00+00:00,105152.7,105167.9,105152.6,105167.8,27.716,15.518
2025-06-14 03:52:00+00:00,105167.8,105177.0,105167.8,105177.0,22.585,16.72
2025-06-14 03:53:00+00:00,105176.9,105177.0,105164.1,105176.8,31.488,7.341
2025-06-14 03:54:00+00:00,105176.9,105204.9,105176.8,105204.1,37.118,28.249
2025-06-14 03:55:00+00:00,105204.2,105248.3,105202.1,105238.8,21.847,12.614
2025-06-14 03:56:00+00:00,105238.7,105240.1,105229.2,105229.2,36.605,11.875
2025-06-14 03:57:00+00:00,105229.2,105229.3,105184.2,105184.2,18.653,2.397
2025-06-14 03:58:00+00:00,105184.2,105191.1,105180.0,105183.3,10.251,4.495
2025-06-14 03:59:00+00:00,105183.3,105189.4,105183.3,105189.4,13.211,2.793
2025-06-14 04:00:00+00:00,105189.3,105189.4,105159.6,105181.7,69.925,25.08
2025-06-14 04:01:00+00:00,105181.7,105198.9,105181.7,105198.8,28.881,23.989
2025-06-14 04:02:00+00:00,105198.8,105213.0,105198.8,105213.0,15.059,10.9
2025-06-14 04:03:00+00:00,105212.9,105222.3,105210.1,105210.1,20.045,7.422
2025-06-14 04:04:00+00:00,105210.2,105228.7,105210.1,105225.4,14.566,9.949
2025-06-14 04:05:00+00:00,105225.5,105248.5,105225.4,105248.4,17.504,13.909
2025-06-14 04:06:00+00:00,105248.5,105248.5,105240.8,105240.8,13.2,2.917
2025-06-14 04:07:00+00:00,105240.8,105257.8,105240.8,105257.8,13.638,10.564
2025-06-14 04:08:00+00:00,105257.7,105272.7,105246.5,105272.7,38.975,17.892
2025-06-14 04:09:00+00:00,105272.6,105272.7,105248.4,105248.4,17.237,6.764
2025-06-14 04:10:00+00:00,105248.4,105273.5,105240.8,105273.5,26.396,17.22
2025-06-14 04:11:00+00:00,105273.5,105286.5,105268.2,105286.5,12.847,10.508
2025-06-14 04:12:00+00:00,105286.5,105305.1,105286.4,105305.1,18.057,16.814
2025-06-14 04:13:00+00:00,105305.1,105345.0,105287.6,105287.7,131.554,75.55
2025-06-14 04:14:00+00:00,105287.7,105287.7,105262.4,105262.4,10.95,0.955
2025-06-14 04:15:00+00:00,105262.4,105321.8,105262.4,105300.1,41.377,14.517
2025-06-14 04:16:00+00:00,105300.0,105300.1,105263.9,105290.9,34.468,18.263
2025-06-14 04:17:00+00:00,105290.9,105291.6,105277.0,105277.0,14.177,7.082
2025-06-14 04:18:00+00:00,105277.0,105277.1,105248.5,105248.6,28.511,2.738
2025-06-14 04:19:00+00:00,105248.5,105248.6,105201.1,105201.1,23.943,1.396
2025-06-14 04:20:00+00:00,105200.9,105223.3,105194.1,105223.2,31.67,13.662
2025-06-14 04:21:00+00:00,105223.2,105287.5,105223.2,105240.3,39.475,19.954
2025-06-14 04:22:00+00:00,105240.4,105264.1,105240.3,105264.0,7.997,4.413
2025-06-14 04:23:00+00:00,105264.1,105264.1,105242.0,105243.4,22.704,7.948
2025-06-14 04:24:00+00:00,105243.4,105243.4,105240.4,105240.4,7.533,4.565
2025-06-14 04:25:00+00:00,105240.5,105252.2,105240.4,105250.3,11.804,8.706
2025-06-14 04:26:00+00:00,105250.3,105250.4,105245.0,105245.0,7.683,4.007
2025-06-14 04:27:00+00:00,105245.1,105250.3,105240.4,105247.0,11.131,7.327
2025-06-14 04:28:00+00:00,105247.0,105296.9,105246.9,105291.9,31.181,21.906
2025-06-14 04:29:00+00:00,105292.0,105296.9,105290.0,105290.1,14.472,7.761
2025-06-14 04:30:00+00:00,105290.1,105290.1,105290.0,105290.0,8.171,6.261
2025-06-14 04:31:00+00:00,105290.1,105321.6,105280.5,105321.6,52.912,26.796
2025-06-14 04:32:00+00:00,105321.7,105345.0,105321.7,105344.9,31.196,28.718
2025-06-14 04:33:00+00:00,105345.0,105349.1,105338.7,105349.1,37.791,27.509
2025-06-14 04:34:00+00:00,105349.9,105350.0,105333.3,105333.3,26.567,6.963
2025-06-14 04:35:00+00:00,105333.4,105360.0,105305.4,105308.8,80.78,15.471
2025-06-14 04:36:00+00:00,105308.7,105308.8,105280.0,105297.8,32.296,7.661
2025-06-14 04:37:00+00:00,105297.8,105304.9,105297.7,105304.9,9.175,5.589
2025-06-14 04:38:00+00:00,105304.8,105304.8,105288.7,105288.7,23.177,7.048
2025-06-14 04:39:00+00:00,105288.8,105288.8,105259.4,105259.4,13.533,0.662
